iobs,ca,start_time,int_lo_code,int_area,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c2,c2a,c3,c4,c5,c6,c7,c8,c9_1,c9_2,c9_3,c9_4,c9_5,c9_6,c9_7,c9_8,c9_9,c9_10,c10,c11,c12,c13,c14,c15,c16,c18,c19_1,c19_2,c19_3,c19_4,c19_5,c19_6,c19_7,c19_8,c19_9,c19_10,c19_11,c19_12,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58_1,c58_2,c58_3,c58_4,c58_5,c59,c60,c61,c62,C67,c71,c73
81,1,1145,1011,5,1,0,0,0,0,0,5,2, ,1,2,2, ,1,1,1,1,0,0,1,0,0,0,0,1,1,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,0,0,0,0,1,1,1, ,1,BD18,2,1148
82,1,1130,1011,5,1,0,0,0,0,0,5,2, ,4,6,1,9999,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,0,0,0,1,1, ,6,HU15,2,1135
83,1,1120,1011,5,1,0,0,0,0,0,5,2, ,4,2,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11,1,0,0,0,0,1,1, ,6,HD6 ,2,1126
84,1,1112,1011,5,1,0,0,0,0,0,5,2, ,4,4,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,0,0,0,0,1,1, ,6,BD13,2,1117
85,1,1049,1011,5,1,0,0,0,0,0,10,1,1, ,1,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,0, , , , , ,2,2,10,1,0,1,3, , , , , , ,10,1,1,2,1,0,0,0,0,2,1,4, ,NR4 ,2,1055
86,1,1000,1011,5,1,0,0,0,0,0,5,2, ,4,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,0,0,0,0,1,1, ,6,BD10,2,1006
87,1,1347,1011,5,1,0,0,0,0,0,1,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,0,0,0,0,1,4, ,1,LS28,2,1350
88,1,1315,1011,5,1,0,0,0,0,0,1,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,0,0,0,0,1,4,4, ,1,LS20,2,1318
89,1,1307,1011,5,1,0,0,0,0,0,1,2, ,1,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,0,0,0,0,1,3,3, ,1,LS20,2,1310
90,1,1258,1011,5,1,0,0,0,0,0,1,2, ,1,7,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,0,1,0,0,0,1,1, ,1,LS29,2,1302
91,1,1220,1011,5,1,0,0,0,0,0,1,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,0,0,0,0,1,1, ,1,LS19,2,1222
92,1,1215,1011,5,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,0,0,0,0,1,1, ,1,LS19,2,1217
93,1,1159,1011,5,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,0,0,1,0,0,1,4, ,1,LS29,2,1202
94,1,1137,1011,5,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,9,0,0,0,0,1,1,1, ,1,LS28,2,1142
95,1,1105,1011,5,1,0,0,0,0,0,1,2, ,1,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,1,2,2, ,5,LS12,2,1109
96,1,1038,1011,5,1,0,0,0,0,0,1,2, ,1,11,1,9999,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,1,1, ,1,LS29,2,1042
97,1,1022,1011,5,1,0,0,0,0,0,5,2, ,1,3,2, ,1,0,0,0,0,0,0,1,0,0,0, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,0,0,0,0,1,1, ,1,LS29,2,1026
98,1,1010,1011,5,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,0,0,0,0,1,2,4, ,1,LS29,2,1014
99,1,1240,1008,1,1,0,0,0,0,0,10,1,1, ,3,1,1,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,3,0,0,2, , , ,20,20,3,0,0,1,6,0,0,0,0,1,2,5,2, ,SK11,2,9999
100,1,1200,1008,1,1,0,0,0,0,0,10,1,1, ,10,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , ,2, , , , , , , , , ,2,2,40,2,0,2,2, , , ,30,9999,2,0,0,2,11,0,0,0,0,1,1,1,1, ,M32 ,2,1205
101,1,1145,1008,1,1,0,0,0,0,0,5,1,1, ,5,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,1,0,0,5, , , , , , ,5,5,1,4,0,0,0,0,1,4,2,4, ,BD17,2,1150
102,1,1125,1008,1,1,0,0,0,0,0,3,1,1, ,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9999,9999,9999,9999,4, , , , , , ,9999,9999,1,6,0,0,1,0,0,1,1,1, ,YO32,1,1130
103,1,955,1008,1,1,0,0,0,0,0,5,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,3, , , , , , ,0,0,1,1,1,0,0,0,0,2,1,5, ,BD17,1,1000
104,1,1320,1008,1,1,0,0,0,0,0,1,2, ,1,12,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,0,0,0,0,1,2,2, ,1,LS20,2,1325
105,1,1315,1008,1,1,0,0,0,0,0,1,2, ,1,11,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11,0,0,0,0,1,1,1, ,1,LS21,2,1320
106,1,1300,1008,1,1,0,0,0,0,0,1,2, ,1,2,2, ,1,1,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,1,1, ,1,LS20,2,1303
107,1,1210,1008,1,1,0,0,0,0,0,1,2, ,1,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,1,0,0,0,0,1,1, ,1,LS19,2,1213
108,1,1048,1008,1,1,0,0,0,0,0,1,2, ,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,2,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,1,1,1, ,1,LS20,1,1050
109,1,1100,1008,1,1,0,0,0,0,0,1,2, ,1,1,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,1,1, ,1,LS21,2,1105
110,1,1050,1008,1,1,0,0,0,0,0,1,2, ,1,3,2, ,1,1,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,0,0,0,0,1,2,2, ,1,LS19,1,1055
